Art Student,Art0 Student,3,Fall 2020,Spring 2024,Grad,Art Studio
Art Student,Art1 Student,3.2,Fall 2021,Spring 2025,Undergrad,Art History
Art Student,Art2 Student,3.4,Fall 2022,Spring 2026,Grad,Art Education
Art Student,Art3 Student,3.6,Fall 2023,Spring 2027,Undergrad,Art Studio
Art Student,Art4 Student,3.8,Fall 2024,Spring 2028,Grad,Art History
Physics Student,Physics0 Student,3.5,Spring 2019,Fall 2023,Grad,Earth and Planetary Sciences
Physics Student,Physics1 Student,3.6,Spring 2020,Fall 2024,Undergrad,Biophysics
Physics Student,Physics2 Student,3.7,Spring 2021,Fall 2025,Grad,Earth and Planetary Sciences
Physics Student,Physics3 Student,3.8,Spring 2022,Fall 2026,Undergrad,Biophysics
Physics Student,Physics4 Student,3.9,Spring 2023,Fall 2027,Grad,Earth and Planetary Sciences
